item_encoded,total_observations,historical_shortage_prob,avg_shortage_qty,max_shortage_qty,total_shortage_qty,shortage_qty_7d_avg,shortage_qty_30d_avg,shortage_freq_7d,shortage_freq_30d,is_shortage
146,744,0.002688172043010753,0.24059139784946237,177.0,179.0,0.0,0.0,0.0,0.0,0
147,744,0.002688172043010753,0.7956989247311828,336.0,592.0,0.0,0.0,0.0,0.0,0
148,744,0.016129032258064516,0.06451612903225806,7.0,48.0,0.0,0.0,0.0,0.0,0
149,744,0.04435483870967742,0.0967741935483871,3.0,72.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0
150,744,0.008064516129032258,0.008064516129032258,1.0,6.0,0.0,0.0,0.0,0.0,0
151,744,0.004032258064516129,0.18548387096774194,46.0,138.0,0.0,0.0,0.0,0.0,0
152,744,0.01478494623655914,1.0416666666666667,135.0,775.0,0.0,0.0,0.0,0.0,0
153,744,0.016129032258064516,0.10618279569892473,8.0,79.0,0.0,0.0,0.0,0.0,0
154,744,0.08602150537634409,0.14650537634408603,4.0,109.0,0.0,0.0,0.0,0.0,0
155,744,0.02956989247311828,0.1922043010752688,10.0,143.0,0.0,0.0,0.0,0.0,0
156,744,0.025537634408602152,0.32526881720430106,30.0,242.0,0.0,0.0,0.0,0.0,0
157,744,0.18548387096774194,25.471774193548388,480.0,18951.0,0.0,0.0,0.0,0.0,0
158,744,0.06854838709677419,1.5134408602150538,69.0,1126.0,48.714285714285715,14.133333333333333,0.7142857142857143,0.5,0
159,744,0.013440860215053764,0.06048387096774194,30.0,45.0,0.0,0.0,0.0,0.0,0
160,744,0.0013440860215053765,0.0013440860215053765,1.0,1.0,0.0,0.0,0.0,0.0,0
161,744,0.0013440860215053765,0.0228494623655914,17.0,17.0,0.0,0.0,0.0,0.0,0
162,744,0.024193548387096774,0.5456989247311828,33.0,406.0,0.0,0.0,0.0,0.0,0
163,744,0.009408602150537635,0.01881720430107527,2.0,14.0,0.0,0.0,0.0,0.0,0
164,744,0.012096774193548387,0.012096774193548387,1.0,9.0,0.0,0.0,0.0,0.0,0
165,744,0.006720430107526882,0.020161290322580645,3.0,15.0,0.0,0.0,0.0,0.0,0
166,744,0.004032258064516129,0.008064516129032258,2.0,6.0,0.0,0.0,0.0,0.0,0
167,744,0.01478494623655914,0.2701612903225806,47.0,201.0,0.0,0.0,0.0,0.0,0
168,744,0.009408602150537635,0.01881720430107527,5.0,14.0,0.0,0.0,0.0,0.0,0
169,744,0.036290322580645164,0.1196236559139785,6.0,89.0,0.0,0.0,0.0,0.0,0
170,748,0.15240641711229946,110.19919786096257,4342.0,82429.0,41.142857142857146,39.166666666666664,0.5714285714285714,0.6,0
171,744,0.07526881720430108,0.33198924731182794,12.0,247.0,2.857142857142857,2.0,0.7142857142857143,0.5,0
172,744,0.002688172043010753,0.03225806451612903,12.0,24.0,0.0,0.0,0.0,0.0,0
173,750,0.07066666666666667,4.206666666666667,412.0,3155.0,0.0,0.0,0.0,0.0,0
174,744,0.006720430107526882,0.5618279569892473,183.0,418.0,0.0,0.0,0.0,0.0,0
175,744,0.002688172043010753,0.06989247311827956,26.0,52.0,0.0,0.0,0.0,0.0,0
176,744,0.028225806451612902,0.3548387096774194,43.0,264.0,0.0,0.0,0.0,0.0,0
177,744,0.01747311827956989,0.4543010752688172,26.0,338.0,0.0,0.0,0.0,0.0,0
178,744,0.0228494623655914,1.26747311827957,454.0,943.0,0.0,0.0,0.0,0.0,0
179,744,0.002688172043010753,0.1827956989247312,121.0,136.0,0.0,4.033333333333333,0.0,0.03333333333333333,0
180,744,0.05779569892473118,100.74059139784946,4313.0,74951.0,0.0,0.0,0.0,0.0,0
181,744,0.0013440860215053765,0.004032258064516129,3.0,3.0,0.0,0.0,0.0,0.0,0
182,744,0.053763440860215055,4.477150537634409,237.0,3331.0,0.0,0.0,0.0,0.0,0
183,744,0.06451612903225806,0.14516129032258066,6.0,108.0,0.0,0.0,0.0,0.0,0
184,744,0.01747311827956989,0.7862903225806451,142.0,585.0,0.0,0.0,0.0,0.0,0
185,744,0.006720430107526882,0.2513440860215054,45.0,187.0,0.0,0.0,0.0,0.0,0
186,744,0.005376344086021506,0.04973118279569892,10.0,37.0,0.0,0.0,0.0,0.0,0
187,744,0.0013440860215053765,0.030913978494623656,23.0,23.0,0.0,0.0,0.0,0.0,0
188,744,0.008064516129032258,0.8239247311827957,442.0,613.0,0.0,0.0,0.0,0.0,0
189,744,0.002688172043010753,0.008064516129032258,3.0,6.0,0.0,0.0,0.0,0.0,0
190,744,0.0013440860215053765,0.10080645161290322,75.0,75.0,0.0,0.0,0.0,0.0,0
191,744,0.03225806451612903,0.2903225806451613,17.0,216.0,0.0,0.0,0.0,0.0,0
192,744,0.030913978494623656,1.1223118279569892,127.0,835.0,0.0,0.0,0.0,0.0,0
193,744,0.013440860215053764,11.67741935483871,2714.0,8688.0,474.85714285714283,110.8,0.2857142857142857,0.06666666666666667,0
194,744,0.01747311827956989,0.03763440860215054,4.0,28.0,0.0,0.0,0.0,0.0,0
195,744,0.006720430107526882,0.020161290322580645,3.0,15.0,0.0,0.0,0.0,0.0,0
196,744,0.002688172043010753,3.006720430107527,1133.0,2237.0,0.0,0.0,0.0,0.0,0
197,744,0.004032258064516129,0.06586021505376344,17.0,49.0,0.0,0.0,0.0,0.0,0
198,744,0.06989247311827956,0.0913978494623656,2.0,68.0,0.0,0.0,0.0,0.0,0
199,744,0.002688172043010753,0.12634408602150538,47.0,94.0,0.0,0.0,0.0,0.0,0
200,744,0.012096774193548387,0.012096774193548387,1.0,9.0,0.0,0.0,0.0,0.0,0
201,744,0.005376344086021506,2.4341397849462365,544.0,1811.0,0.0,0.0,0.0,0.0,0
202,744,0.043010752688172046,0.6290322580645161,41.0,468.0,0.0,0.0,0.0,0.0,0
203,744,0.024193548387096774,0.06182795698924731,10.0,46.0,0.0,0.6666666666666666,0.0,0.1,0
204,744,0.04838709677419355,48.861559139784944,1500.0,36353.0,0.0,0.0,0.0,0.0,0
205,744,0.005376344086021506,0.08333333333333333,50.0,62.0,0.0,0.0,0.0,0.0,0
206,744,0.020161290322580645,0.04032258064516129,2.0,30.0,0.0,0.0,0.0,0.0,0
207,744,0.009408602150537635,1.5524193548387097,165.0,1155.0,0.0,0.0,0.0,0.0,0
208,744,0.0013440860215053765,0.02956989247311828,22.0,22.0,0.0,0.0,0.0,0.0,0
209,744,0.0228494623655914,10.834677419354838,1055.0,8061.0,0.0,0.0,0.0,0.0,0
210,744,0.0013440860215053765,0.025537634408602152,19.0,19.0,0.0,0.0,0.0,0.0,0
211,744,0.01881720430107527,0.21236559139784947,18.0,158.0,0.0,0.0,0.0,0.0,0
212,744,0.0013440860215053765,0.11021505376344086,82.0,82.0,0.0,0.0,0.0,0.0,0
213,744,0.021505376344086023,0.038978494623655914,2.0,29.0,0.0,0.0,0.0,0.0,0
214,744,0.008064516129032258,1.6048387096774193,374.0,1194.0,0.0,0.0,0.0,0.0,0
215,744,0.01478494623655914,7.34005376344086,1633.0,5461.0,0.0,0.0,0.0,0.0,0
216,744,0.04435483870967742,0.45564516129032256,33.0,339.0,0.0,0.0,0.0,0.0,0
217,744,0.04973118279569892,0.6868279569892473,88.0,511.0,0.0,0.23333333333333334,0.0,0.03333333333333333,0
218,744,0.006720430107526882,0.04704301075268817,9.0,35.0,0.0,0.0,0.0,0.0,0
219,744,0.006720430107526882,0.006720430107526882,1.0,5.0,0.0,0.0,0.0,0.0,0
220,744,0.036290322580645164,3.610215053763441,266.0,2686.0,0.0,0.0,0.0,0.0,0
221,744,0.008064516129032258,0.008064516129032258,1.0,6.0,0.0,0.0,0.0,0.0,0
222,744,0.013440860215053764,0.013440860215053764,1.0,10.0,0.0,0.0,0.0,0.0,0
223,744,0.010752688172043012,0.043010752688172046,4.0,32.0,0.0,0.0,0.0,0.0,0
224,744,0.008064516129032258,0.008064516129032258,1.0,6.0,0.0,0.0,0.0,0.0,0
225,744,0.036290322580645164,0.2661290322580645,21.0,198.0,0.0,1.7,0.0,0.2,0
226,744,0.01881720430107527,2.439516129032258,461.0,1815.0,0.0,0.0,0.0,0.0,0
227,744,0.008064516129032258,1.8024193548387097,532.0,1341.0,0.0,0.0,0.0,0.0,0
228,744,0.002688172043010753,0.07258064516129033,27.0,54.0,0.0,0.0,0.0,0.0,0
229,744,0.0228494623655914,0.13844086021505375,13.0,103.0,0.0,0.0,0.0,0.0,0
230,744,0.11290322580645161,5.826612903225806,184.0,4335.0,0.0,0.0,0.0,0.0,0
231,744,0.010752688172043012,6.313172043010753,2005.0,4697.0,0.0,0.0,0.0,0.0,0
232,744,0.002688172043010753,0.006720430107526882,3.0,5.0,0.0,0.0,0.0,0.0,0
233,744,0.02956989247311828,2.702956989247312,417.0,2011.0,0.0,0.0,0.0,0.0,0
234,744,0.005376344086021506,0.06989247311827956,13.0,52.0,0.0,0.0,0.0,0.0,0
